Sony PlayStation 2 || Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan)/Sega Ages 2500 Series Vol. 26 - Dynamite Deka (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan)/Sega Ages 2500 Series Vol. 32 - Phantasy Star Complete Collection (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan)/Sega Ages 2500 Series Vol. 33 - Fantasy Zone Complete Collection (Japan).json
Sony PlayStation 2 || Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan) || Sony/Sony PlayStation 2/Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan)/Sega Ages 2500 Series Vol. 9 - Gain Ground (Japan).json
Sony PlayStation 2 || Sega Classics Collection (USA) || Sony/Sony PlayStation 2/Sega Classics Collection (USA)/Sega Classics Collection (USA).json
Sony PlayStation 2 || Sega Genesis Collection (USA) || Sony/Sony PlayStation 2/Sega Genesis Collection (USA)/Sega Genesis Collection (USA).json
Sony PlayStation 2 || Shadow Hearts (USA) || Sony/Sony PlayStation 2/Shadow Hearts (USA)/Shadow Hearts (USA).json
Sony PlayStation 2 || Shin Megami Tensei - Devil Summoner - Raidou Kuzunoha vs. The Soulless Army (USA) || Sony/Sony PlayStation 2/Shin Megami Tensei - Devil Summoner - Raidou Kuzunoha vs. The Soulless Army (USA)/Shin Megami Tensei - Devil Summoner - Raidou Kuzunoha vs. The Soulless Army (USA).json
Sony PlayStation 2 || Shin Megami Tensei - Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (USA) || Sony/Sony PlayStation 2/Shin Megami Tensei - Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (USA)/Shin Megami Tensei - Devil Summoner 2 - Raidou Kuzunoha vs. King Abaddon (USA).json
Sony PlayStation 2 || Shin Megami Tensei - Digital Devil Saga (USA) || Sony/Sony PlayStation 2/Shin Megami Tensei - Digital Devil Saga (USA)/Shin Megami Tensei - Digital Devil Saga (USA).json
Sony PlayStation 2 || Shin Megami Tensei - Digital Devil Saga 2 (USA) || Sony/Sony PlayStation 2/Shin Megami Tensei - Digital Devil Saga 2 (USA)/Shin Megami Tensei - Digital Devil Saga 2 (USA).json
Sony PlayStation 2 || Shining Force Neo (USA) || Sony/Sony PlayStation 2/Shining Force Neo (USA)/Shining Force Neo (USA).json
Sony PlayStation 2 || Shining Tears (USA) || Sony/Sony PlayStation 2/Shining Tears (USA)/Shining Tears (USA).json
Sony PlayStation 2 || Silent Hill - Shattered Memories (USA) (En,Fr,Es) || Sony/Sony PlayStation 2/Silent Hill - Shattered Memories (USA) (En,Fr,Es)/Silent Hill - Shattered Memories (USA) (En,Fr,Es).json
Sony PlayStation 2 || Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01) || Sony/Sony PlayStation 2/Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01)/Silent Hill 2 (USA) (En,Ja,Fr,De,Es,It) (v2.01).json
Sony PlayStation 2 || Silent Hill 3 (USA) (En,Ja,Fr,De,Es,It,Ko) || Sony/Sony PlayStation 2/Silent Hill 3 (USA) (En,Ja,Fr,De,Es,It,Ko)/Silent Hill 3 (USA) (En,Ja,Fr,De,Es,It,Ko).json
Sony PlayStation 2 || Silent Hill 4 - The Room (USA) (En,Ja) || Sony/Sony PlayStation 2/Silent Hill 4 - The Room (USA) (En,Ja)/Silent Hill 4 - The Room (USA) (En,Ja).json
Sony PlayStation 2 || Silent Hill Origins (USA) (En,Fr,De,Es,It) || Sony/Sony PlayStation 2/Silent Hill Origins (USA) (En,Fr,De,Es,It)/Silent Hill Origins (USA) (En,Fr,De,Es,It).json
Sony PlayStation 2 || Sims, The (USA) || Sony/Sony PlayStation 2/Sims, The (USA)/Sims, The (USA).json
Sony PlayStation 2 || Siren (USA) || Sony/Sony PlayStation 2/Siren (USA)/Siren (USA).json
Sony PlayStation 2 || Soldier of Fortune - Gold Edition (USA) || Sony/Sony PlayStation 2/Soldier of Fortune - Gold Edition (USA)/Soldier of Fortune - Gold Edition (USA).json
Sony PlayStation 2 || Sonic Mega Collection Plus (USA) || Sony/Sony PlayStation 2/Sonic Mega Collection Plus (USA)/Sonic Mega Collection Plus (USA).json
Sony PlayStation 2 || Soulcalibur III (USA) || Sony/Sony PlayStation 2/Soulcalibur III (USA)/Soulcalibur III (USA).json
Sony PlayStation 2 || Star Ocean - Till the End of Time (USA) || Sony/Sony PlayStation 2/Star Ocean - Till the End of Time (USA)/Star Ocean - Till the End of Time (USA).json
Sony PlayStation 2 || Star Wars - Battlefront (USA) || Sony/Sony PlayStation 2/Star Wars - Battlefront (USA)/Star Wars - Battlefront (USA).json
Sony PlayStation 2 || Star Wars - Battlefront II (USA) (v2.01) || Sony/Sony PlayStation 2/Star Wars - Battlefront II (USA) (v2.01)/Star Wars - Battlefront II (USA) (v2.01).json
Sony PlayStation 2 || Stella Deus - The Gate of Eternity (USA) || Sony/Sony PlayStation 2/Stella Deus - The Gate of Eternity (USA)/Stella Deus - The Gate of Eternity (USA).json
