Computer - Disc || Scratches - Director's Cut (USA) || Computer/Disc/S/Scratches - Director's Cut (USA)/Scratches - Director's Cut (USA).json
Computer - Disc || Sega Dreamcast AT&T WorldNet Service & Previews (USA) || Computer/Disc/S/Sega Dreamcast AT&T WorldNet Service & Previews (USA)/Sega Dreamcast AT&T WorldNet Service & Previews (USA).json
Computer - Disc || Sega Genesis Classic Collection - Gold Edition (USA) || Computer/Disc/S/Sega Genesis Classic Collection - Gold Edition (USA)/Sega Genesis Classic Collection - Gold Edition (USA).json
Computer - Disc || Septerra Core - Legacy of the Creator (USA) || Computer/Disc/S/Septerra Core - Legacy of the Creator (USA)/Septerra Core - Legacy of the Creator (USA).json
Computer - Disc || Shadow Chronicles 6 Pack - Collector's Edition (USA) || Computer/Disc/S/Shadow Chronicles 6 Pack - Collector's Edition (USA)/Shadow Chronicles 6 Pack - Collector's Edition (USA).json
Computer - Disc || Shadow of the Comet (USA) || Computer/Disc/S/Shadow of the Comet (USA)/Shadow of the Comet (USA).json
Computer - Disc || Shivers (USA) || Computer/Disc/S/Shivers (USA)/Shivers (USA).json
Computer - Disc || Silent Hill 2 (USA) || Computer/Disc/S/Silent Hill 2 (USA)/Silent Hill 2 (USA).json
Computer - Disc || Silent Hill 3 (USA) || Computer/Disc/S/Silent Hill 3 (USA)/Silent Hill 3 (USA).json
Computer - Disc || Sims 2, The - Ultimate Collection (USA) || Computer/Disc/S/Sims 2, The - Ultimate Collection (USA)/Sims 2, The - Ultimate Collection (USA).json
Computer - Disc || Sims, The - Complete Collection (USA) || Computer/Disc/S/Sims, The - Complete Collection (USA)/Sims, The - Complete Collection (USA).json
Computer - Disc || SkiFree (USA) || Computer/Disc/S/SkiFree (USA)/SkiFree (USA).json
Computer - Disc || Soldier of Fortune II - Double Helix (USA) || Computer/Disc/S/Soldier of Fortune II - Double Helix (USA)/Soldier of Fortune II - Double Helix (USA).json
Computer - Disc || Sonic R (USA) || Computer/Disc/S/Sonic R (USA)/Sonic R (USA).json
Computer - Disc || Sonic Triple Trouble 16-bit (USA) || Computer/Disc/S/Sonic Triple Trouble 16-bit (USA)/Sonic Triple Trouble 16-bit (USA).json
Computer - Disc || Speculum Mortis - Regret (USA) || Computer/Disc/S/Speculum Mortis - Regret (USA)/Speculum Mortis - Regret (USA).json
Computer - Disc || Spooky's House of Jump Scares (USA) || Computer/Disc/S/Spooky's House of Jump Scares (USA)/Spooky's House of Jump Scares (USA).json
Computer - Disc || Stanley Parable, The (USA) || Computer/Disc/S/Stanley Parable, The (USA)/Stanley Parable, The (USA).json
Computer - Disc || Star Trek - Omnipedia (USA) || Computer/Disc/S/Star Trek - Omnipedia (USA)/Star Trek - Omnipedia (USA).json
Computer - Disc || Star Trek - The Next Generation - A Final Unity (USA) || Computer/Disc/S/Star Trek - The Next Generation - A Final Unity (USA)/Star Trek - The Next Generation - A Final Unity (USA).json
Computer - Disc || Star Wars - Dark Forces (USA) || Computer/Disc/S/Star Wars - Dark Forces (USA)/Star Wars - Dark Forces (USA).json
Computer - Disc || Star Wars - Jedi Knight - Dark Forces II (USA) || Computer/Disc/S/Star Wars - Jedi Knight - Dark Forces II (USA)/Star Wars - Jedi Knight - Dark Forces II (USA).json
Computer - Disc || Star Wars - Knights of the Old Republic (USA) || Computer/Disc/S/Star Wars - Knights of the Old Republic (USA)/Star Wars - Knights of the Old Republic (USA).json
Computer - Disc || Star Wars - Knights of the Old Republic II - The Sith Lords (USA) || Computer/Disc/S/Star Wars - Knights of the Old Republic II - The Sith Lords (USA)/Star Wars - Knights of the Old Republic II - The Sith Lords (USA).json
Computer - Disc || Star Wars - X-Wing Alliance (USA) || Computer/Disc/S/Star Wars - X-Wing Alliance (USA)/Star Wars - X-Wing Alliance (USA).json
Computer - Disc || StarCraft & Brood War (USA) || Computer/Disc/S/StarCraft & Brood War (USA)/StarCraft & Brood War (USA).json
Computer - Disc || Starsiege (USA) || Computer/Disc/S/Starsiege (USA)/Starsiege (USA).json
Computer - Disc || Starsiege - Tribes (USA) || Computer/Disc/S/Starsiege - Tribes (USA)/Starsiege - Tribes (USA).json
Computer - Disc || Starsiege Universe (USA) || Computer/Disc/S/Starsiege Universe (USA)/Starsiege Universe (USA).json
Computer - Disc || SteamWorld Dig - A Fistful of Dirt (USA) || Computer/Disc/S/SteamWorld Dig - A Fistful of Dirt (USA)/SteamWorld Dig - A Fistful of Dirt (USA).json
Computer - Disc || Stories - The Path of Destinies (USA) || Computer/Disc/S/Stories - The Path of Destinies (USA)/Stories - The Path of Destinies (USA).json
Computer - Disc || Street Fighter & Mega Man Collection (USA) || Computer/Disc/S/Street Fighter & Mega Man Collection (USA)/Street Fighter & Mega Man Collection (USA).json
Computer - Disc || Street Fighter 2 (USA) || Computer/Disc/S/Street Fighter 2 (USA)/Street Fighter 2 (USA).json
Computer - Disc || Street Fighter X Mega Man (USA) || Computer/Disc/S/Street Fighter X Mega Man (USA)/Street Fighter X Mega Man (USA).json
Computer - Disc || Stronghold Collection, The (USA) (Stronghold, Stronghold 2, Crusader, Legends) || Computer/Disc/S/Stronghold Collection, The (USA) (Stronghold, Stronghold 2, Crusader, Legends)/Stronghold Collection, The (USA) (Stronghold, Stronghold 2, Crusader, Legends).json
Computer - Disc || Stunt Driver (USA) || Computer/Disc/S/Stunt Driver (USA)/Stunt Driver (USA).json
Computer - Disc || Super Win The Game (USA) || Computer/Disc/S/Super Win The Game (USA)/Super Win The Game (USA).json
Computer - Disc || System Shock - Enhanced Edition (USA) || Computer/Disc/S/System Shock - Enhanced Edition (USA)/System Shock - Enhanced Edition (USA).json
Computer - Disc || Tennis Titans (USA) || Computer/Disc/T/Tennis Titans (USA)/Tennis Titans (USA).json
Computer - Disc || Tetris Worlds (USA) || Computer/Disc/T/Tetris Worlds (USA)/Tetris Worlds (USA).json
Computer - Disc || Thomas Was Alone (USA) || Computer/Disc/T/Thomas Was Alone (USA)/Thomas Was Alone (USA).json
Computer - Disc || Torchlight (USA) || Computer/Disc/T/Torchlight (USA)/Torchlight (USA).json
Computer - Disc || Torchlight II (USA) || Computer/Disc/T/Torchlight II (USA)/Torchlight II (USA).json
Computer - Disc || Tribes - Vengeance (USA) || Computer/Disc/T/Tribes - Vengeance (USA)/Tribes - Vengeance (USA).json
Computer - Disc || Tribes 2 (USA) || Computer/Disc/T/Tribes 2 (USA)/Tribes 2 (USA).json
Computer - Disc || Tux Racer (USA) || Computer/Disc/T/Tux Racer (USA)/Tux Racer (USA).json
Computer - Disc || Typoman - Revised (USA) || Computer/Disc/T/Typoman - Revised (USA)/Typoman - Revised (USA).json
